estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
ExtraTreesClassifier,0.7612481857764877,0.7694837023112021,0.7804878048780487,0.008094835277561304,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7631866133139323,0.7693656330560854,0.7814187972632337,0.008523782915545432,,,,,,,,entropy,sqrt,210,
ExtraTreesClassifier,0.7590975254730713,0.7691992890788572,0.7819548872180452,0.009518293782086445,,,,,,,,gini,sqrt,160,
RandomForestClassifier,0.7633308984660336,0.767519487490319,0.77577505407354,0.005837778232890961,,,,,,,,,,210,
SVC,0.7596675099385616,0.7673918770406147,0.780332507958967,0.009207518375283082,10,,,,,,poly,,,,
ExtraTreesClassifier,0.7588213895962168,0.7664703849024312,0.7769010043041606,0.007638550973122537,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7619394823186293,0.7664220324839327,0.7735442127965493,0.0050920315429924595,,,,,,,,entropy,log2,210,
RandomForestClassifier,0.7576419213973798,0.766412475518616,0.7762262799856784,0.0076228111392786495,,,,,,,,,,110,
ExtraTreesClassifier,0.7611777535441658,0.7662370009791822,0.7759053424166367,0.006839019381052342,,,,,,,,gini,sqrt,210,
RandomForestClassifier,0.7569721115537847,0.7662013194920739,0.7789322823360803,0.00930085984418219,,,,,,,,,,160,
SVC,0.7592067988668555,0.7656319662656156,0.775886524822695,0.007328096249960961,10,,,,,,rbf,,,,
ExtraTreesClassifier,0.7565789473684211,0.7652117455153563,0.7724982001439885,0.0065683652397969545,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.758117475373951,0.7641538104246858,0.7729226361031519,0.006345501021844712,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.7587463556851312,0.7639867549982192,0.7711711711711712,0.005255372560793423,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.7572886297376095,0.763745030068074,0.7730061349693252,0.006716138199605294,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7544691718350968,0.7629314305578041,0.7717663919742028,0.007066476567030545,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7565185457216306,0.7623988538309824,0.7679477882523569,0.004671848499067122,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7568555758683729,0.7618299295014009,0.76983842010772,0.00571798633059485,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7538237436270938,0.7605063778194686,0.7723840345199569,0.00842070043214053,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7555394115510351,0.7598023020458929,0.7662477558348294,0.004636079250441566,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.7477047374219611,0.7597846928708177,0.7727272727272726,0.01023360180737387,,,,,,,,gini,log2,60,
RandomForestClassifier,0.7508208682962423,0.7585052852385763,0.7629974901398352,0.005459560004668009,,,,,,,,,,60,
SVC,0.736764705882353,0.7530262664524566,0.770127504553734,0.013633240689922669,1,,,,,,poly,,,,
GradientBoostingClassifier,0.7419122933141625,0.7485875054678526,0.7541218637992831,0.00504939359003338,,,,,,,,,,210,0.6
GradientBoostingClassifier,0.7410808901448251,0.7482831752777978,0.7576621525302923,0.006942048545461633,,,,,,,,,,210,1.0
