estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7444726350126858,0.7546430649780366,0.7616300036062027,0.007357299644294218,10,,,,,,rbf,,,,
SVC,0.7404970760233919,0.7515544433937356,0.7585462396545519,0.007909476522124835,10,,,,,,poly,,,,
RandomForestClassifier,0.7389678384442783,0.7497311039873419,0.7582903463522477,0.008040858850926199,,,,,,,,,,160,
RandomForestClassifier,0.7405764966740577,0.7495679966137284,0.7637161667885881,0.010126023213752642,,,,,,,,,,210,
ExtraTreesClassifier,0.7378568780126066,0.7491256531673608,0.7591508052708639,0.008737573394644161,,,,,,,,gini,sqrt,160,
RandomForestClassifier,0.7369597615499255,0.7491209825305387,0.7614138438880707,0.009983771252782266,,,,,,,,,,60,
ExtraTreesClassifier,0.7391786903440623,0.7488192290999082,0.7559912854030502,0.007082179154697931,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.7376988531261561,0.7484546911648163,0.7579408543263966,0.008312388700718548,,,,,,,,entropy,sqrt,210,
ExtraTreesClassifier,0.7412116679132387,0.7482285783166144,0.7528294998174516,0.005041246956956109,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7328640237124862,0.7479774941069269,0.7580409356725145,0.010881063592006678,,,,,,,,gini,sqrt,110,
RandomForestClassifier,0.7367630491926399,0.7479120940735778,0.7620790629575404,0.010553231328276699,,,,,,,,,,110,
ExtraTreesClassifier,0.7309417040358744,0.7459272483097946,0.7552804078659869,0.010704701279931682,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7357859531772575,0.745863242757434,0.7534545454545454,0.00742427937478728,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.737471952131638,0.7452595795177892,0.751094890510949,0.0057303151161394155,,,,,,,,entropy,log2,210,
ExtraTreesClassifier,0.7364110201042442,0.7445677829169065,0.7511013215859033,0.0061061379977278086,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.7314157639148301,0.7444937462158204,0.7555555555555555,0.009957613508322227,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.7331334332833583,0.7440297004387952,0.7523879500367376,0.008062888386227906,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7385645221271848,0.7437164952719376,0.7491761259611864,0.0043376279121169,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7307835128109915,0.743492567471146,0.7530275229357799,0.009354327906916503,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7297196261682244,0.7433496031814223,0.7543150936467132,0.010216289983626895,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7342995169082126,0.7429593634054686,0.7482335440684269,0.006171781378799542,,,,,,,,gini,log2,60,
ExtraTreesClassifier,0.7303958177744586,0.7381137111246128,0.747608535688006,0.007138511884852767,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.730086825217063,0.7334579106873104,0.7370786516853933,0.0028598549208826655,,,,,,,,entropy,sqrt,10,
ExtraTreesClassifier,0.7164967912419782,0.7256469284275324,0.7388724035608308,0.009578562564467942,,,,,,,,gini,sqrt,10,
ExtraTreesClassifier,0.7142309167625622,0.7243758139361427,0.7320359281437125,0.007478200200665743,,,,,,,,gini,log2,10,
GradientBoostingClassifier,0.7075027183762234,0.7223434857463523,0.7349746560463433,0.011323679591811442,,,,,,,,,,210,0.8
RandomForestClassifier,0.7125475285171103,0.7210428421555098,0.7272727272727273,0.006221307171677246,,,,,,,,,,10,
GradientBoostingClassifier,0.7085168869309838,0.7190792401073596,0.7276720351390923,0.007943101626883468,,,,,,,,,,210,0.6
GradientBoostingClassifier,0.7115942028985508,0.7188100619920973,0.7289310470631157,0.007369819495995787,,,,,,,,,,160,0.8
