estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7377647918188459,0.7478501953463693,0.7574221578566258,0.008033294307421446,10,,,,,,rbf,,,,
RandomForestClassifier,0.7349081364829397,0.7463407421357818,0.7632638126600805,0.01220983200114401,,,,,,,,,,110,
RandomForestClassifier,0.7358280844757319,0.7460674553569898,0.7650957290132548,0.013468045222800398,,,,,,,,,,210,
RandomForestClassifier,0.737151248164464,0.7458141057782127,0.7615186140803538,0.011124470436316503,,,,,,,,,,160,
RandomForestClassifier,0.7355219476208041,0.7434771951618385,0.7578326575746407,0.010170677049395643,,,,,,,,,,60,
ExtraTreesClassifier,0.7298507462686566,0.7428856039846766,0.7572744014732965,0.011236520246547673,,,,,,,,gini,sqrt,160,
ExtraTreesClassifier,0.7329099738513261,0.7428382506985516,0.7558182489841153,0.009597986601115955,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7311426437640031,0.7425198017392743,0.7571743929359823,0.010877167757247097,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7303958177744586,0.7420020007949181,0.7542435424354244,0.009746153200395158,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.7290492296129275,0.7415536540509055,0.7531319086219601,0.00985350022512549,,,,,,,,gini,sqrt,60,
SVC,0.7320698625046451,0.7412059197321206,0.7474302496328928,0.006600201522237106,10,,,,,,poly,,,,
ExtraTreesClassifier,0.7304804804804805,0.741139745238106,0.7548435171385992,0.010176481271652413,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7286995515695067,0.7405782136202657,0.7586715867158671,0.013001222961240505,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7294469357249627,0.7405706196954833,0.7544510385756676,0.010392336290548488,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7306107156238291,0.739995454904738,0.7526881720430108,0.009311661456253794,,,,,,,,entropy,sqrt,210,
ExtraTreesClassifier,0.7263157894736841,0.7392701273409755,0.754730983302412,0.011735069515438177,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7315968289920725,0.7392480729302539,0.7514836795252225,0.008742005557790995,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.7296686746987951,0.7392031018321896,0.7517625231910948,0.00926993268039032,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.7336309523809524,0.7386902928145997,0.7482439926062847,0.006759422346432708,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.7257700976709242,0.7386332036445863,0.7553903345724908,0.012401940205318132,,,,,,,,entropy,log2,210,
ExtraTreesClassifier,0.7269984917043741,0.7372868701173276,0.7527922561429635,0.011157731170252901,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7267244628722201,0.7359090324359094,0.7499070977331845,0.010057698399969908,,,,,,,,gini,log2,60,
ExtraTreesClassifier,0.7242297451502473,0.7310778679327369,0.7383351997013811,0.00576579286362176,,,,,,,,gini,sqrt,10,
GradientBoostingClassifier,0.7243401759530792,0.7272678232209594,0.7292656192911947,0.002115571704696414,,,,,,,,,,210,1.0
