estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7626154939587776,0.771528101833867,0.7874515333098343,0.011286302858886965,10,,,,,,rbf,,,,
RandomForestClassifier,0.7635306937885943,0.7698870597646991,0.7735982966643009,0.004515653351712919,,,,,,,,,,210,
ExtraTreesClassifier,0.7642158638174573,0.7694623866259335,0.7734570103460577,0.003875146086392831,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7650429799426934,0.7689328698029548,0.776386404293381,0.005272127419269463,,,,,,,,gini,sqrt,210,
RandomForestClassifier,0.7651542649727767,0.7682743932496626,0.7714285714285715,0.002561588038981253,,,,,,,,,,160,
GradientBoostingClassifier,0.7585714285714285,0.7680946584858948,0.7809859154929578,0.009455510240461262,,,,,,,,,,210,0.6
ExtraTreesClassifier,0.7661115133960897,0.7677929573405721,0.7702219040801718,0.0017593366582282215,,,,,,,,entropy,sqrt,160,
GradientBoostingClassifier,0.7568529725881096,0.7675635675820529,0.7827911857292761,0.011060450529238411,,,,,,,,,,160,0.6
ExtraTreesClassifier,0.758445332364693,0.767300904626688,0.7758743754461099,0.007118172593271298,,,,,,,,gini,sqrt,160,
SVC,0.7564285714285715,0.7671100010394133,0.7831325301204819,0.011537500021464931,1,,,,,,poly,,,,
ExtraTreesClassifier,0.7616974972796517,0.7666177829134081,0.7763532763532764,0.0068841670871527035,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7590975254730713,0.7661460287336448,0.7715917201998572,0.005225130282510866,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.7583454281567489,0.7652059747812786,0.7735714285714286,0.006306416380153784,,,,,,,,entropy,sqrt,210,
RandomForestClassifier,0.7587957925281102,0.765030258342524,0.7722419928825623,0.005532712813474645,,,,,,,,,,110,
ExtraTreesClassifier,0.7597520962449872,0.7645366126453622,0.7693404634581106,0.003914458397450089,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7577639751552795,0.7642548086827313,0.7681314755269739,0.004618561578022065,,,,,,,,gini,log2,110,
SVC,0.7473948975925261,0.7638524655987319,0.7799579537491241,0.01329614296787084,10,,,,,,poly,,,,
ExtraTreesClassifier,0.750637058609392,0.7634199506668865,0.7726947819871336,0.009340437454223971,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.757542711741185,0.7633526119883397,0.769451416278236,0.0048659983625924715,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.7596048298572996,0.7633288925012468,0.7693957811941365,0.004326839296128257,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.751918158567775,0.7632427240598746,0.770061173083843,0.008063128348676065,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7551988325428676,0.7631059797475398,0.7670940170940171,0.005591268218506873,,,,,,,,gini,log2,60,
ExtraTreesClassifier,0.7544691718350968,0.762461800304138,0.7718289615522818,0.007153441131224455,,,,,,,,entropy,log2,210,
GradientBoostingClassifier,0.751326494517156,0.7620521249785787,0.7722143864598026,0.00853674590257931,,,,,,,,,,110,0.6
ExtraTreesClassifier,0.7498181818181819,0.7608518321556804,0.7700496806245564,0.008360861692581347,,,,,,,,gini,sqrt,60,
RandomForestClassifier,0.7579250720461096,0.7605697826190355,0.7658362989323843,0.0037240011382843104,,,,,,,,,,60,
GradientBoostingClassifier,0.7522218272307144,0.7603261763308448,0.769989432898908,0.007336874773602582,,,,,,,,,,210,0.4
GradientBoostingClassifier,0.7390530437878249,0.7585850913060396,0.7700947700947701,0.013884427561184739,,,,,,,,,,210,0.8
GradientBoostingClassifier,0.7478693181818181,0.7577277480462034,0.7722143864598026,0.010463773160964931,,,,,,,,,,160,0.4
GradientBoostingClassifier,0.7464887640449439,0.7562130118038333,0.7644128113879004,0.0073964326972050165,,,,,,,,,,160,1.0
GradientBoostingClassifier,0.746384479717813,0.7561968883144935,0.7653532126375577,0.0077578365573449685,,,,,,,,,,210,1.0
