estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
ExtraTreesClassifier,0.7574437182280319,0.7641941572720126,0.7748201438848921,0.007604820570804429,,,,,,,,gini,sqrt,210,
RandomForestClassifier,0.7585703865791393,0.7637690333289745,0.772939906441166,0.006504086508836453,,,,,,,,,,110,
RandomForestClassifier,0.7584187408491948,0.7636094490237748,0.7739380849532038,0.007303480292079734,,,,,,,,,,210,
ExtraTreesClassifier,0.7576642335766423,0.7635181679994921,0.7751714182605557,0.008240122451868425,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7567959405581732,0.763126265918347,0.7722342733188721,0.006601624433702386,,,,,,,,gini,sqrt,160,
ExtraTreesClassifier,0.7568157033805889,0.7630411232818064,0.767902123065851,0.004627699720275075,,,,,,,,entropy,log2,210,
ExtraTreesClassifier,0.7589706415367887,0.7629279702885396,0.770061173083843,0.005054015199451778,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7578181818181818,0.7627643284954623,0.7719044170890658,0.006470310019609661,,,,,,,,entropy,sqrt,210,
ExtraTreesClassifier,0.755813953488372,0.7624723626731366,0.7729573391178597,0.007503593825919745,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7542773935202038,0.7622971261440318,0.7733142037302726,0.008055560951347842,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7569546120058566,0.7619043973716556,0.7708408516780947,0.006331248428254231,,,,,,,,entropy,log2,160,
SVC,0.7550514002126907,0.7617901886728843,0.7676983279971541,0.005196388430863369,10,,,,,,rbf,,,,
ExtraTreesClassifier,0.7523739956172389,0.760981650676707,0.7733812949640289,0.008985582644419106,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7535390199637023,0.7606803738719546,0.7721198988804624,0.008171820337196484,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7547307132459972,0.7606524664638674,0.769009009009009,0.006078024995843982,,,,,,,,gini,log2,210,
SVC,0.7503628447024674,0.760267873576231,0.7719421924568206,0.00889812162657632,10,,,,,,poly,,,,
RandomForestClassifier,0.749271137026239,0.7599408906521753,0.7756708407871198,0.011356063907237684,,,,,,,,,,160,
ExtraTreesClassifier,0.7521865889212828,0.7598378108921463,0.7702359346642469,0.007620315941240863,,,,,,,,entropy,log2,60,
RandomForestClassifier,0.7527352297592997,0.7594566130178322,0.7722843738722482,0.009074070912765301,,,,,,,,,,60,
ExtraTreesClassifier,0.7514577259475219,0.7590953167580485,0.7724486116119725,0.00947474800995754,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7534345625451916,0.7586628900869421,0.7658959537572254,0.005281148419527831,,,,,,,,gini,log2,60,
