estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7645587709896391,0.7722326316121664,0.7860906217070601,0.0098179339927016,10,,,,,,rbf,,,,
SVC,0.7629603146228101,0.7720067910665019,0.7873905429071804,0.010934038842061008,1,,,,,,poly,,,,
ExtraTreesClassifier,0.7670840787119856,0.7709912445124015,0.7782128871484515,0.005112201862495508,,,,,,,,entropy,sqrt,210,
SVC,0.7578571428571429,0.7706926555110963,0.7881118881118881,0.012769632441086328,10,,,,,,poly,,,,
ExtraTreesClassifier,0.7653692251727902,0.7706510269441885,0.7781740370898717,0.005462481932277103,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.768672951414068,0.770453445469249,0.7726300784034213,0.0016395950742085685,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7660485021398001,0.7700814400124276,0.777698355968549,0.005389090692316986,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.7622504537205081,0.769901886374457,0.7830423940149626,0.009333582858262279,,,,,,,,gini,sqrt,160,
ExtraTreesClassifier,0.7621818181818182,0.7694610170866949,0.7732474964234621,0.005148567841189009,,,,,,,,entropy,log2,210,
RandomForestClassifier,0.7660944206008583,0.7693202614931125,0.7755247242974032,0.004388378464643051,,,,,,,,,,210,
RandomForestClassifier,0.7649173256649892,0.7692733938308024,0.7727920227920229,0.003268913379771109,,,,,,,,,,110,
RandomForestClassifier,0.7593466424682397,0.7685645162997069,0.77750088999644,0.007414113009352857,,,,,,,,,,160,
ExtraTreesClassifier,0.7635306937885943,0.7684930955031045,0.7724982001439885,0.003723023486709791,,,,,,,,gini,log2,160,
GradientBoostingClassifier,0.7567373338124326,0.7673612254940965,0.7792665726375175,0.009242050515074356,,,,,,,,,,210,0.4
ExtraTreesClassifier,0.7631103074141049,0.7671542520465137,0.7703809184763261,0.0030239492996028327,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7651245551601423,0.7671535310322999,0.7695605573419079,0.0018306138203891258,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7606247729749364,0.7665458426227181,0.7705503931379557,0.004272724977044486,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7590229675537732,0.7664927370782744,0.7705627705627706,0.005289008554092695,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7644092219020172,0.7659637119123032,0.7684623617552623,0.0017842951941342184,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7610748002904866,0.7652234266511129,0.7719799857040744,0.004818834708515865,,,,,,,,entropy,log2,160,
RandomForestClassifier,0.7610427226647356,0.7648735474370562,0.7724529641462548,0.005359562096450653,,,,,,,,,,60,
ExtraTreesClassifier,0.7581512002866357,0.7643659451862169,0.7699430199430198,0.004835060848318566,,,,,,,,entropy,sqrt,60,
GradientBoostingClassifier,0.7534983853606029,0.7631228146662262,0.7743067743067743,0.008566265766869093,,,,,,,,,,160,0.4
ExtraTreesClassifier,0.7571896614488534,0.7626949360699129,0.7701108330353951,0.005445305445945691,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.7547307132459972,0.7615348349559697,0.7708333333333334,0.006806371017333188,,,,,,,,gini,log2,60,
SVC,0.7519125683060108,0.7596965725119968,0.7644953471725127,0.005553694120744185,1,,,,,,rbf,,,,
GradientBoostingClassifier,0.7494661921708184,0.757769110952828,0.7638691322901848,0.006082803020771289,,,,,,,,,,210,0.8
GradientBoostingClassifier,0.7451975353388909,0.7572778525113263,0.7673043478260869,0.009141167968894297,,,,,,,,,,210,0.6
GradientBoostingClassifier,0.7452661664880316,0.7562265149889115,0.7623762376237624,0.0077693939911519724,,,,,,,,,,160,0.8
GradientBoostingClassifier,0.7459074733096086,0.7537174700818325,0.7579908675799087,0.005530687425164343,,,,,,,,,,210,1.0
GradientBoostingClassifier,0.7465041233416996,0.7536582213710483,0.7587887225896275,0.00521530137895314,,,,,,,,,,160,0.6
GradientBoostingClassifier,0.7395198853457542,0.7530504312270622,0.7609380469023451,0.009611326897593675,,,,,,,,,,160,1.0
GradientBoostingClassifier,0.7493725349587665,0.7527758473809995,0.7564370215727209,0.0028898226357117235,,,,,,,,,,110,0.6
GradientBoostingClassifier,0.7393983327292498,0.751976731809278,0.7645605365337098,0.010272427398625208,,,,,,,,,,110,0.4
GradientBoostingClassifier,0.7378157239416577,0.7496966553633779,0.7610062893081762,0.009476123191476006,,,,,,,,,,110,0.8
