estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7739872068230277,0.7866389867953766,0.8075976081603938,0.014925760281180886,10,,,,,,poly,,,,
SVC,0.7741935483870969,0.7845665871698095,0.7974549310710498,0.009661540628415828,10,,,,,,rbf,,,,
RandomForestClassifier,0.771955186122154,0.7826725470849869,0.7921428571428571,0.008288621408481668,,,,,,,,,,210,
RandomForestClassifier,0.7780979827089337,0.7819909815145332,0.7873174207338796,0.003897911657864724,,,,,,,,,,110,
ExtraTreesClassifier,0.7742639040348964,0.7807939751228542,0.7855093256814921,0.004766884723596155,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.772005772005772,0.7798679780926264,0.7872492836676218,0.006232421194740042,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.774076755973932,0.7795797936941907,0.7843839541547278,0.004236815286089865,,,,,,,,gini,sqrt,160,
ExtraTreesClassifier,0.7717391304347825,0.77921632500765,0.7837351565311264,0.005325416695748961,,,,,,,,entropy,sqrt,210,
ExtraTreesClassifier,0.7731884057971015,0.7789312171022656,0.7855093256814921,0.00506455380406706,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.7759681505609844,0.7783288555180244,0.7795275590551182,0.0016693377293596698,,,,,,,,gini,sqrt,110,
SVC,0.7687319884726226,0.7779870998534116,0.7874515333098343,0.0076436553876011335,1,,,,,,poly,,,,
RandomForestClassifier,0.7706157724162765,0.7775363778097995,0.7831368345837798,0.005196238622560261,,,,,,,,,,160,
ExtraTreesClassifier,0.7740297424737034,0.776689452052934,0.7789776817854572,0.0020369951424556994,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7705627705627707,0.7765148281462372,0.7809250627465041,0.004368614456850736,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7734487734487734,0.7763816765895312,0.7804355587290254,0.0029604321277805212,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.7712323816407661,0.7760853359565387,0.7788495891389783,0.003442621756355144,,,,,,,,entropy,log2,210,
RandomForestClassifier,0.7715219760261534,0.7756448385033083,0.7836968180193065,0.005694158698072768,,,,,,,,,,60,
ExtraTreesClassifier,0.7688969258589511,0.7753351251947759,0.7816421656507708,0.005204048829297239,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7737965979008324,0.7751446219867497,0.7768240343347639,0.0012579630295482993,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7699530516431925,0.7741146435995573,0.7774991042637047,0.0031292893039679853,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7716250452406804,0.773980330472985,0.776629853936587,0.0020537704550774097,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7673410404624277,0.7720719179685857,0.77502691065662,0.0033796918326898127,,,,,,,,entropy,log2,60,
GradientBoostingClassifier,0.7646219686162624,0.7697681817651579,0.777422790202343,0.005518713226311689,,,,,,,,,,210,0.6
