estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7801769911504425,0.7887963540861156,0.801410934744268,0.0091174343475911,10,,,,,,rbf,,,,
ExtraTreesClassifier,0.7821389989196976,0.7876259903706089,0.7933765298776099,0.004591486229309675,,,,,,,,entropy,sqrt,210,
SVC,0.7754522880454061,0.7875144234878871,0.8032497350759449,0.011641697545210137,10,,,,,,poly,,,,
RandomForestClassifier,0.781700288184438,0.7860818615273825,0.7917261055634809,0.004189272529448841,,,,,,,,,,210,
ExtraTreesClassifier,0.781922525107604,0.7856336243130598,0.7894172327493744,0.0030601311355694855,,,,,,,,gini,sqrt,160,
ExtraTreesClassifier,0.77878022374594,0.7854926551277591,0.7909645034062388,0.005050970371279237,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.7805405405405405,0.784651337932167,0.7893792608539648,0.003634682667003823,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7782577393808495,0.7845209496182917,0.7890235210263722,0.004568033889640798,,,,,,,,entropy,sqrt,110,
RandomForestClassifier,0.7760979121670267,0.7818550262946816,0.7881386209360486,0.004929675663001838,,,,,,,,,,110,
RandomForestClassifier,0.7744496571634789,0.7814679809904644,0.7886819484240688,0.00581195526176713,,,,,,,,,,160,
SVC,0.7729226361031519,0.7809994518122738,0.7929328621908126,0.008612288849969145,1,,,,,,poly,,,,
ExtraTreesClassifier,0.774982027318476,0.7807479719861474,0.7873335732277799,0.005075696947995648,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.7747292418772563,0.7806668909185763,0.788180847276611,0.005603569131814273,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7743092931467528,0.7804792948545898,0.7863799283154121,0.0049314959044285825,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7731032002876663,0.7803716082125401,0.7842857142857144,0.005144619228758788,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7739849083722601,0.7802407408044753,0.7838801711840228,0.004443214024732226,,,,,,,,gini,log2,210,
RandomForestClassifier,0.7700690156193245,0.7796361909016363,0.7881597717546361,0.007422294406560863,,,,,,,,,,60,
ExtraTreesClassifier,0.7764109985528219,0.7794781873885865,0.7818311874105865,0.0022696785469516634,,,,,,,,entropy,log2,210,
ExtraTreesClassifier,0.774928774928775,0.7793039776658137,0.7868852459016394,0.005381972471013564,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7705627705627707,0.7782173803396267,0.7847197429489466,0.005836706944676884,,,,,,,,entropy,log2,160,
GradientBoostingClassifier,0.7707664884135472,0.7754890240157533,0.7833744276153576,0.005612060418174451,,,,,,,,,,210,0.4
ExtraTreesClassifier,0.7703435804701628,0.774667993060314,0.7790074973223848,0.0035370453417577345,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.7731995700465782,0.7746116101915907,0.7773019271948608,0.0019031250331640818,,,,,,,,gini,log2,110,
