estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7874688501245996,0.7902474015310612,0.7945109078114004,0.003060660315372874,10,,,,,,rbf,,,,
SVC,0.7835926449787837,0.7884342005629135,0.7976190476190476,0.006497852381866355,10,,,,,,poly,,,,
ExtraTreesClassifier,0.7857400072020166,0.7870076813272472,0.7879656160458454,0.0009346256136185996,,,,,,,,entropy,sqrt,210,
RandomForestClassifier,0.7788635541078537,0.7869684585876708,0.7944025834230355,0.006361489186926748,,,,,,,,,,210,
ExtraTreesClassifier,0.7823890292313245,0.7853409982985932,0.7873335732277799,0.002129547161152672,,,,,,,,entropy,sqrt,110,
RandomForestClassifier,0.7780187997107737,0.7850455191780344,0.7890430451796513,0.004984342606519036,,,,,,,,,,160,
ExtraTreesClassifier,0.778460426454644,0.7844562625411992,0.7883995703544576,0.004309392811043688,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.7796242774566473,0.7837478272113302,0.7878354203935599,0.003352281485687958,,,,,,,,gini,sqrt,160,
RandomForestClassifier,0.7763347763347762,0.78327365803059,0.787900612171408,0.0049967253553129245,,,,,,,,,,110,
RandomForestClassifier,0.7766149404547095,0.7826046913103603,0.787463976945245,0.004500656389518008,,,,,,,,,,60,
ExtraTreesClassifier,0.7775362318840578,0.7825261131031143,0.7857142857142857,0.0035734909676040146,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7792678506705327,0.782477457572979,0.7855868712094185,0.0025807019924340906,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7758496023138106,0.7818367898739241,0.7864042933810376,0.004424326915958138,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7743330930064888,0.7818359198679111,0.7863554757630162,0.005342243662854628,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7759365994236311,0.781663706196673,0.786476868327402,0.004351305416987674,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7725135623869801,0.7811029423825874,0.7877492877492877,0.006369896362619199,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.773727896066402,0.7809536500962686,0.7862759113652609,0.005296579745655015,,,,,,,,entropy,log2,210,
ExtraTreesClassifier,0.772298767222625,0.7806463113801265,0.7850467289719626,0.005905505244243366,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.774076755973932,0.7805015474867781,0.7848191908342285,0.0046317766011993115,,,,,,,,entropy,log2,110,
SVC,0.7737752161383284,0.7795443099100137,0.7897687456201822,0.007249634481054322,1,,,,,,poly,,,,
ExtraTreesClassifier,0.7780187997107737,0.7791319860658446,0.7806797853309482,0.0011289751706361365,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.774076755973932,0.7775048924035204,0.7805405405405405,0.0026533831267187805,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7678377399492937,0.7760667913714286,0.7822667143367894,0.006062829217965297,,,,,,,,gini,log2,60,
ExtraTreesClassifier,0.7601177336276674,0.7665124320415799,0.7699082568807339,0.0045246376230771235,,,,,,,,gini,sqrt,10,
ExtraTreesClassifier,0.7418752334703027,0.7638270969756137,0.7754360465116279,0.015530914225739226,,,,,,,,entropy,sqrt,10,
SVC,0.758645795413178,0.7637472137131714,0.7707594038325053,0.005126607971709234,1,,,,,,rbf,,,,
GradientBoostingClassifier,0.7579617834394906,0.7635301189739659,0.7691223123017272,0.0045562980599699945,,,,,,,,,,210,0.6
ExtraTreesClassifier,0.7503660322108345,0.7605310926053703,0.7658948915839764,0.0071914510239948605,,,,,,,,gini,log2,10,
GradientBoostingClassifier,0.7547169811320754,0.7604501005569438,0.7638791286015462,0.004079858198479043,,,,,,,,,,210,0.4
