estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.7805922226186228,0.7884732952739911,0.7967764540995095,0.006613922422083324,10,,,,,,rbf,,,,
SVC,0.7728253055355859,0.783400771147107,0.7930912936200212,0.008297184724493152,10,,,,,,poly,,,,
RandomForestClassifier,0.7789473684210527,0.7826109734499805,0.786589762076424,0.0031279440234784407,,,,,,,,,,110,
RandomForestClassifier,0.7741935483870966,0.7806491793091984,0.7883369330453565,0.005839373674722509,,,,,,,,,,210,
ExtraTreesClassifier,0.7774566473988439,0.7803624074969124,0.7828282828282829,0.002214910194218677,,,,,,,,entropy,sqrt,210,
ExtraTreesClassifier,0.7784560143626571,0.7794209602413494,0.7811034980165885,0.0011940117313635722,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7740072202166066,0.7791333811057367,0.7855352667382742,0.004791977279240769,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7730727470141151,0.7783546690603799,0.7824523552678894,0.003919700127978521,,,,,,,,gini,log2,60,
ExtraTreesClassifier,0.7722342733188721,0.7781914550070494,0.781922525107604,0.004256934364921842,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.774076755973932,0.7780190212870819,0.7804527488321955,0.0028130749344623543,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7722342733188721,0.7779561127392697,0.7818636201356658,0.004135209027325535,,,,,,,,entropy,log2,160,
RandomForestClassifier,0.7702359346642468,0.7778011956486077,0.784144144144144,0.005743408314431894,,,,,,,,,,160,
ExtraTreesClassifier,0.7738910926794086,0.7776852918410336,0.779721528025705,0.002685308108093685,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.773727896066402,0.7771307373115462,0.7798066595059077,0.002534317754105434,,,,,,,,entropy,log2,210,
ExtraTreesClassifier,0.774891774891775,0.7762701359539305,0.7777777777777778,0.0011817468146806686,,,,,,,,gini,sqrt,160,
ExtraTreesClassifier,0.7703971119133574,0.7762205534104925,0.7806451612903225,0.004299083671734091,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.774982027318476,0.7761057588648068,0.7776173285198555,0.0011102603011392204,,,,,,,,gini,sqrt,60,
RandomForestClassifier,0.769623950346842,0.7760269968420865,0.7835200578243585,0.005725181187416398,,,,,,,,,,60,
