estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
SVC,0.775787965616046,0.7832894162082934,0.7963418923672178,0.009263778561492783,10,,,,,,rbf,,,,
ExtraTreesClassifier,0.7759173494834344,0.7805312637033217,0.7853815836617699,0.003867371881136849,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7785379906373785,0.7803098730441165,0.7835420393559929,0.00228902420363949,,,,,,,,gini,sqrt,210,
ExtraTreesClassifier,0.772398843930636,0.7789739337627463,0.7871428571428571,0.006123817460516336,,,,,,,,entropy,sqrt,110,
SVC,0.7701067615658364,0.7785701950018581,0.7945109078114004,0.011278973612168104,10,,,,,,poly,,,,
SVC,0.7671525062211162,0.7779971526153259,0.7985940246045695,0.014571014551878534,1,,,,,,poly,,,,
GradientBoostingClassifier,0.7728571428571429,0.777059994456614,0.7815687653886738,0.0035630774864348013,,,,,,,,,,210,0.4
ExtraTreesClassifier,0.7730727470141151,0.776689636518567,0.7808022922636104,0.003174986148524266,,,,,,,,entropy,sqrt,210,
RandomForestClassifier,0.7698924731182796,0.7765079377601151,0.7852541159627774,0.006449804799588706,,,,,,,,,,160,
RandomForestClassifier,0.7726300784034211,0.7763602142849653,0.7819548872180452,0.004028679574396149,,,,,,,,,,210,
ExtraTreesClassifier,0.7729710404004291,0.7759227107021688,0.7776173285198557,0.002094776683870096,,,,,,,,gini,sqrt,110,
RandomForestClassifier,0.7705565529622981,0.7757198098850998,0.78005657708628,0.003922153195547822,,,,,,,,,,110,
GradientBoostingClassifier,0.7702702702702703,0.7745167752858514,0.7774667599720084,0.0030776711682984834,,,,,,,,,,160,0.4
ExtraTreesClassifier,0.7720188474084813,0.7744144519979504,0.7756410256410255,0.0016941111341545944,,,,,,,,entropy,log2,110,
ExtraTreesClassifier,0.7688405797101449,0.7742831805666137,0.7802079598422375,0.004653221449547783,,,,,,,,gini,sqrt,160,
ExtraTreesClassifier,0.766654532216964,0.7734509699722443,0.7818311874105865,0.006296241433314924,,,,,,,,entropy,log2,210,
ExtraTreesClassifier,0.7688424089433826,0.7732525284364514,0.7815186246418339,0.005849389051450491,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7654320987654321,0.7731376447203494,0.7790074973223848,0.005692110859742061,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.7697790449037776,0.7726378846022798,0.7756708407871198,0.002408464531031202,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.7683494450411744,0.7724321397824491,0.7746376811594203,0.0028900123338306788,,,,,,,,gini,sqrt,60,
GradientBoostingClassifier,0.7661089355642577,0.7721809922575532,0.7840789010214864,0.008413692368007859,,,,,,,,,,210,0.6
ExtraTreesClassifier,0.7648127953471465,0.772015003264562,0.7779369627507163,0.005433858024371549,,,,,,,,gini,log2,160,
