estimator,min_score,mean_score,max_score,std_score,C,max_iter,penalty,solver,alpha,loss,kernel,criterion,max_features,n_estimators,learning_rate
RandomForestClassifier,0.7649173256649892,0.7688172050831832,0.7725812209925026,0.003130246749331791,,,,,,,,,,210,
RandomForestClassifier,0.7670639219934994,0.7681638603918826,0.7703435804701628,0.0015413168153818764,,,,,,,,,,160,
ExtraTreesClassifier,0.7636494252873562,0.7677932238746851,0.7724982001439885,0.0036342256771699235,,,,,,,,gini,log2,160,
ExtraTreesClassifier,0.7654232424677189,0.7665440488031544,0.7676258992805755,0.0008996526840809595,,,,,,,,gini,log2,210,
ExtraTreesClassifier,0.7656023222060958,0.766215660954916,0.7671331180480804,0.0006609084419616833,,,,,,,,entropy,sqrt,160,
ExtraTreesClassifier,0.7629974901398352,0.7659327630333944,0.7676183592338273,0.002083166927854444,,,,,,,,gini,sqrt,210,
SVC,0.7604129583481667,0.7656121570575533,0.7702082597952699,0.0040215897497704964,10,,,,,,rbf,,,,
ExtraTreesClassifier,0.7635183850036048,0.7651317421221057,0.767509025270758,0.001716389557591458,,,,,,,,entropy,sqrt,110,
ExtraTreesClassifier,0.7634137558516385,0.7649398927727802,0.7664023071377073,0.0012209027044209953,,,,,,,,gini,log2,110,
ExtraTreesClassifier,0.7604017216642754,0.764480215051683,0.7673410404624277,0.00296092021975602,,,,,,,,gini,sqrt,160,
RandomForestClassifier,0.7634252539912918,0.7643350580263059,0.7655913978494624,0.0009176455717106178,,,,,,,,,,60,
ExtraTreesClassifier,0.7597122302158272,0.764209754257283,0.7689530685920578,0.00377655779117451,,,,,,,,entropy,log2,210,
RandomForestClassifier,0.7603186097031137,0.7641210784018945,0.7685118619698059,0.0033706509228282676,,,,,,,,,,110,
ExtraTreesClassifier,0.762486525332375,0.7641073203634056,0.7661727502710517,0.0015373871134184685,,,,,,,,entropy,sqrt,60,
ExtraTreesClassifier,0.7607672819399204,0.7637610248685167,0.7654054054054054,0.002120319389209522,,,,,,,,entropy,sqrt,210,
ExtraTreesClassifier,0.7581981981981982,0.7636611385771732,0.7680580762250454,0.004095246841816736,,,,,,,,gini,log2,60,
ExtraTreesClassifier,0.7622478386167146,0.763560786766817,0.7644953471725127,0.000955756817373624,,,,,,,,entropy,log2,160,
ExtraTreesClassifier,0.7608069164265129,0.7632243154910046,0.7652427893391749,0.0018327753309275538,,,,,,,,entropy,log2,60,
ExtraTreesClassifier,0.7580703663402247,0.7630534807587552,0.7661727502710517,0.0035606735988668826,,,,,,,,gini,sqrt,60,
ExtraTreesClassifier,0.7596119295724039,0.7619631703743414,0.7643037063691975,0.0019154248131774574,,,,,,,,gini,sqrt,110,
ExtraTreesClassifier,0.7590448625180897,0.7617662548622692,0.7642805495300072,0.0021424708021940764,,,,,,,,entropy,log2,110,
SVC,0.7517018989609459,0.7585397896516044,0.7637906647807639,0.005061194098624672,10,,,,,,poly,,,,
SVC,0.7534586732884002,0.7570096146005011,0.7630834512022631,0.004315309023676916,1,,,,,,poly,,,,
GradientBoostingClassifier,0.7505285412262156,0.7557086039169487,0.7589889640441438,0.0037059718416779953,,,,,,,,,,210,0.6
GradientBoostingClassifier,0.7444996451383961,0.7516980661570782,0.7562965590634977,0.005155030823106343,,,,,,,,,,210,0.8
GradientBoostingClassifier,0.746893858714945,0.7514628351319623,0.755174875089222,0.003434585187938296,,,,,,,,,,210,0.4
GradientBoostingClassifier,0.7414844030118322,0.7495696133143621,0.7619047619047619,0.008861687044689986,,,,,,,,,,160,0.8
GradientBoostingClassifier,0.7476173667490293,0.749117418577567,0.7501764290755117,0.0010902868396813956,,,,,,,,,,210,1.0
GradientBoostingClassifier,0.7460658082975681,0.7484875600784674,0.7525883612995359,0.002915513640597995,,,,,,,,,,160,0.6
GradientBoostingClassifier,0.7399215126650018,0.7469018604502068,0.7571580063626723,0.007408208005331261,,,,,,,,,,110,0.8
GradientBoostingClassifier,0.7403197158081706,0.7467439697193878,0.7518584070796461,0.004800837677772558,,,,,,,,,,160,1.0
GradientBoostingClassifier,0.7410301953818828,0.7456515810168621,0.7522345370039327,0.0047798282033669525,,,,,,,,,,160,0.4
ExtraTreesClassifier,0.7389053254437871,0.7448108469660611,0.7523739956172389,0.0056221030960644305,,,,,,,,gini,sqrt,10,
GradientBoostingClassifier,0.7436720142602495,0.7444992555193003,0.7452796579978626,0.0006571529503800626,,,,,,,,,,110,0.6
GradientBoostingClassifier,0.7392387050871575,0.7442819345965992,0.751592356687898,0.005292025360265582,,,,,,,,,,110,1.0
SVC,0.7397756062251176,0.7430912609396422,0.7451263537906138,0.0023646710683455432,1,,,,,,rbf,,,,
ExtraTreesClassifier,0.7374588062980594,0.7416568068610113,0.7438934122871946,0.0029705601851905752,,,,,,,,entropy,sqrt,10,
ExtraTreesClassifier,0.7349797272392187,0.7392632051910342,0.7419596110695588,0.003062547185554973,,,,,,,,entropy,log2,10,
ExtraTreesClassifier,0.7355219476208041,0.7390873354887636,0.7419117647058824,0.002660727392635487,,,,,,,,gini,log2,10,
GradientBoostingClassifier,0.7331189710610932,0.7381007759874421,0.7476835352815396,0.006777817670089028,,,,,,,,,,110,0.4
RandomForestClassifier,0.7329332333083273,0.7373945589047973,0.7406056183874498,0.003254611827044403,,,,,,,,,,10,
GradientBoostingClassifier,0.7230383375134359,0.7333364435988287,0.7475177304964539,0.010364023997129856,,,,,,,,,,60,0.8
GradientBoostingClassifier,0.723127035830619,0.7315948017738539,0.7430406852248393,0.008398025401504049,,,,,,,,,,60,0.6
GradientBoostingClassifier,0.7149964463397299,0.7285081084543279,0.735949098621421,0.009570552155092943,,,,,,,,,,60,1.0
GradientBoostingClassifier,0.7178378378378379,0.7228998004445537,0.728759331674369,0.0044942069145928396,,,,,,,,,,60,0.4
SVC,0.714389534883721,0.7185486224012944,0.7241134751773051,0.0040923412760642385,0.1,,,,,,poly,,,,
GradientBoostingClassifier,0.6831215970961888,0.6897691698109095,0.6931659693165969,0.004700921765494756,,,,,,,,,,10,1.0
GradientBoostingClassifier,0.677645409950946,0.6884918506027953,0.7012522361359571,0.009732007308836086,,,,,,,,,,10,0.8
LogisticRegression,0.6710574460300036,0.6864739630355886,0.6989057536180727,0.011563260864926017,100,600,l2,lbfgs,,,,,,,
GradientBoostingClassifier,0.6786850477200423,0.6863917320204204,0.6911070780399273,0.005494711872942843,,,,,,,,,,10,0.6
